id|text|duration_s
0162|Whether or not we discover there are physical aspects of time we can't perceive, our human|6.10
0163|experience of the endless cycle of life and death won't change.|4.75
0164|The golden summers of my childhood are gone forever, but there are new summers ahead.|8.82
0165|Summers rich with the potential of things yet to come.|13.40
0166|When were you born?|2.46
0167|Sounds like a simple question.|2.16
0168|We just say a certain year and month and day.|3.11
0169|But around the world, we reckon time differently.|3.57
0170|In Saudi Arabia, it's the 15th century.|3.14
0171|In Israel, it's the 58th.|2.75
0172|And we live in 24 different time zones.|3.80
0173|We all measure time relative to some starting point,|3.55
0174|a point we have chosen.|2.22
0175|But if we really want to know what time it is,|3.43
0176|we need to know when the cosmic clock started to tick.|4.63
0177|Did time begin when the universe began,|3.83
0178|or did it start some other way?|6.78
0179|Once I was in a bike race.|2.94
0180|I wanted to impress some friends with my terrific speed,|5.63
0181|so I gave it everything I had.|4.70
0182|It was a close race, so close I thought it was a tie.|5.55
0183|One kid said my opponent was quickest,|3.08
0184|but another said I was faster.|3.20
0185|So whose perception of time was correct?|4.11
0186|In a way, we were all right.|7.43
0187|Time is a measure of change,|4.76
0188|but how do we know things change?|3.11
0189|We rely on what our senses tell us.|2.54
0190|And primarily, we rely on what we can see.|3.74
0191|We rely on light.|3.13
0192|light travels at a fixed speed|2.14
0193|of 186,000 miles per second.|5.09
0194|This is accepted as an absolute truth of the universe.|5.04
0195|And that, says cosmologist Jana Levin,|3.32
0196|gives light a unique relationship to time.|4.35
0197|It's actually completely remarkable|2.12
0198|It's never faster, it's never slower.|2.80
0199|To understand the relativity of time,|2.36
0200|And once we start thinking about the nature of light,|2.42
0201|all of our familiar intuitions are turned on their heads.|4.57
0202|If the speed of light is constant,|2.32
0203|then time and space must shift and distort|4.08
0204|depending on your particular point of view.|4.48
0205|Einstein had this very profound insight|3.26
0206|when he started to think about something as simple as light.|3.56
0207|And he realized that if light was going to be the same|5.00
0208|regardless of how fast they were moving|2.08
0209|then space and time had to be different|2.28
0210|for different observers.|2.03
0211|This means time is very personal.|3.22
0212|It depends on where you are and how fast you are moving.|4.20
0213|And the way you see your movement through time|3.02
0214|may not be the way others see your movement through time.|4.54
0215|How often have you woken up in a darkened room|3.56
0216|and had no idea what time it was?|3.43
0217|Have you been out for minutes or hours?|5.82
0218|you have no sense that time is passing.|3.98
0219|Perhaps the cosmos experiences time in the same way.|4.07
0220|The Big Bang was the moment our universe was born,|3.16
0221|but what if it didn't wake up right away?|5.23
0222|Could there have been a time when the universe had no time?|10.00
0223|Professor Larry Schulman is a little out of place|2.76
0224|His home base is New York's Clarkson University,|3.28
0225|which often sits under a static sheet of ice.|4.20
0226|from the state of the early universe,|2.18
0227|when he claims time did not exist.|7.32
0228|Larry explores the behavior of systems|2.74
0229|composed of large numbers of particles,|2.62
0230|such as the water in this fountain or the universe.|3.88
0231|Statistical mechanics can also tell us|2.66
0232|about the relationship of light to time.|3.90
0233|Light carries information about events.|2.98
0234|We use it to determine what is happening now.|3.90
0235|But because light has a speed limit,|2.34
0236|everything we see actually took place in the past.|5.32
0237|from the sun is about eight minutes|2.54
0238|of 186,000 miles per second.|2.32
0239|So if the sun were to explode, for example,|2.96
0240|until eight minutes after the event.|4.39
0241|The light of the most distant parts of the universe|2.36
0242|has been traveling toward us for 13.8 billion years.|4.58
0243|This is when the universe began, in the Big Bang.|8.34
0244|but a field of charged particles,|2.42
0245|a dense hot cloud of plasma.|3.44
0246|Photons, particles of light,|2.48
0247|could not travel very far in this soup.|4.14
0248|Then, about 380,000 years into the life of the universe,|4.36
0249|there was a sudden change called recombination.|4.35
0250|This is when atoms began to form.|3.43
0251|Prior to recombination, if an electron and a proton|2.78
0252|would approach and bind temporarily,|2.64
0253|they would be whacked by a photon coming along|2.60
0254|Recombination is a process in which the electrons|4.10
0255|and the protons, which were previously loose|2.42
0256|and separated from each other in the plasma,|2.12
0257|in the early universe photons could never move freely and there was no way|8.94
0258|to measure change Larry argues that means time did not exist only after|8.05
0259|recombination when the universe cooled and atoms formed did light began to move|5.58
0260|around freely that says Larry is when the universe's clock began to tick the|8.17
0261|very earliest point there's never even a time but eventually there was something|4.26
0262|called time, which was keeping track of the way things changed.|5.75
0263|This could explain the birth of time in our universe.|5.73
0264|But if our universe ends, will time die with it?|5.59
0265|Time may have begun at the Big Bang.|4.81
0266|It may have always been flowing.|3.46
0267|Or it could be born trillions of times every second.|5.84
0268|This debate could go on for decades,|3.72
0269|or it could end any day now,|2.86
0270|because we may finally have an experiment|3.06
0271|that reveals the true nature of time.|7.55
0272|At the Berkeley campus of the University of California,|3.50
0273|Professor Hartmut Hefner is building a time ring,|4.90
0274|an object that will rotate like this disc.|4.48
0275|But while this metal ring is levitated|2.70
0276|using electromagnetic force,|3.06
0277|a time ring will be driven by a jet of in time.|5.63
0278|If it works, this experiment|2.44
0279|will prove a controversial theory.|2.82
0280|The quantum fluctuations that have been observed in space|3.98
0281|also exist in time.|3.28
0282|We physicists like symmetries,|2.14
0283|and one symmetry is like space and time.|3.70
0284|We would like to treat them on the same footing.|2.42
0285|So whatever we observe in space,|2.78
0286|we think we should also see in time.|2.72
0287|and this would actually simplify the description|2.16
0288|of the universe or make it more elegant.|3.80
0289|Nanotechnologist Tong Kong Lee, also at Berkeley,|3.90
0290|devised the time ring experiment.|3.14
0291|He approached Hartmut, an expert in trapping|3.18
0292|and studying atomic particles.|2.49
0293|But Hartmut had his doubts.|2.26
0294|I mean, this is a ridiculous idea.|2.46
0295|And then we started talking and I realized,|2.88
0296|oh, wait, this is really weird, but they are right.|3.24
0297|On this electrode, inside a space the width of a human hair,|4.18
0298|Hartmut and his team will create a perfectly static landscape,|4.30
0299|a landscape isolated from outside energy.|2.80
0300|To further reduce energy in the system,|2.32
0301|he must trap and cool calcium ions|3.00
0302|down to a few billionths of a degree above absolute zero,|4.24
0303|Colder than anything has ever been cooled before.|4.00
0304|This will take the ions down to their ground state,|4.96
0305|the state of minimum possible energy.|3.00
0306|Only then can the effects of space be separated from time.|6.26
0307|Imagine these ball bearings are calcium ions|3.00
0308|and we're going to inject 100 of these calcium ions|3.00
0309|into our vacuum chamber.|2.00
0310|So at normal temperatures, these ions move around rapidly|4.00
0311|rapidly in random directions but when we cool them they form this ring and they|4.96
0312|slow down and you would expect that at some point this ring stops moving it|5.60
0313|wouldn't rotate but if this theory is correct that ring should move rotate|5.88
0314|spin an object at ground state shouldn't move because it neither consumes nor|9.41
0315|produces energy. But quantum mechanics tells us zero does not mean zero. Even at|9.42
0316|ground state there will still be quantum fluctuations. In quantum mechanics|5.16
0317|there's always this finite jitter motion. In the ground state things will still|4.94
0318|move but they will move in an undirected way. What we are after is something|4.52
0319|where there is still motion in a particular direction. It would be|4.82
0320|different in the sense that it's directed.|6.65
0321|to make only tiny random movements in space,|3.60
0322|too small to make the ring move.|3.14
0323|But if the ion ring begins to turn anyway,|4.44
0324|it will mean there has been a fluctuation in time.|4.43
0325|not at all clear what is going to happen|2.62
0326|at these low temperatures.|2.00
0327|There are people who say that this ring should move,|2.96
0328|and others say it shouldn't.|3.01
0329|then both space and time fluctuate.|4.16
0330|That might support Feydalker's theory|2.00
0331|that space-time is constantly generating itself|2.94
0332|in quantum bits.|3.32
0333|At the very least, it will demonstrate|2.48
0334|that space and time are inextricably linked|3.12
0335|in the quantum realm.|2.24
0336|So we have these quantum fluctuations in space,|3.70
0337|But time be treated as something that you can know very precisely.|3.58
0338|Actually, what I would be feeling much more happy with is|3.74
0339|if quantum mechanics would also assume that time is fuzzy, so to speak,|4.44
0340|that you can't tell what time it is exactly, only approximately,|4.86
0341|And I've never worked with something where time fluctuates,|2.40
0342|so when I see it, maybe then it becomes natural to me, too.|5.00
0343|If we find the origins of time, we will answer one of the deepest riddles of creation.|12.24
0344|But we might also learn that time is meaningless to the universe.|4.62
0345|Time only matters to us because it anchors us between our memories of the past and the mystery of the future.|9.61
0346|happen. But Einstein's laws of relativity blur our concept of time. As the great man said,|9.74
0347|the distinction between the past, present, and future is only a stubbornly persistent illusion.|7.57
0348|If all of time is already out there, can we make the sands of time flow the other way?|10.21
0349|Craig Callender of the University of California, San Diego, is a philosopher who studies physics and cognitive science.|11.42
0350|He wonders why we don't experience time the way it really is.|5.29
0351|We ordinarily think of our brains as just receiving this stream of information and giving it to us in a passive way.|7.55
0352|but in fact we never really look underneath the hood and then see what really is going on.|4.64
0353|When you look at a smoothly moving clock hand, your brain can make time appear to stop|5.44
0354|and start whenever your mental focus changes.|3.12
0355|If you look at an analog clock and you're looking at the second hand as it's going around,|4.00
0356|just as you grab it with your attention, the second hand seems to pause momentarily.|4.40
0357|You also experience a pause in time whenever you look in the mirror.|3.60
0358|Shift your gaze from one eye to the other and you will never see either in motion.|6.09
0359|The brain is pulling all these tricks on us all the time.|3.42
0360|Our brains distort time to help us take snapshots of the world and remember important events.|7.93
0361|If our concept of time is distorted, what's the reality?|5.25
0362|Albert Einstein's theory of relativity attempts to explain how time truly works.|6.42
0363|in his view time is a dimension just like the three dimensions of space and because of this|6.80
0364|he believed that there is no such thing as a single universal now space has no single universal|8.40
0365|here so why should time so here we're in san diego there are other places boston london moscow there|8.05
0366|are all those other places we can't see them but they we know they exist similarly things are laid|5.04
0367|out in time that way too all of time already exists alongside the other three dimensions|6.40
0368|in einstein's description of time craig's actions of getting into the water paddling over it and|6.00
0369|getting out all happen alongside one another physicists call this view of reality where all|8.38
0370|of time and space already exist the block universe and it looks like this cake so let this end of the|9.71
0371|block be the Big Bang, and this end of the block be the end of the universe. All the|4.64
0372|events are there laid out. So some of these events might be your birth, some of them might|4.26
0373|be right now, some of them might be your death. They're all there.|5.11
0374|Of course, we don't see the block universe all at once. We each experience the universe|5.21
0375|as our own slice of now. Everything behind the slice becomes our past, and everything|6.25
0376|in front represents our future.|3.90
0377|So each observer will have a different slice covering up|3.46
0378|That knife will be their present.|4.01
0379|But just as everyone can't have the same here,|3.24
0380|not everyone can agree on what now is.|3.68
0381|Or to put it another way, everyone|2.62
0382|has their own uniquely angled now slice.|4.02
0383|Consider your own slice of now here on Earth.|3.60
0384|Your now includes light in the night sky from the nearby star|3.60
0385|Alpha Centauri, but that light has taken over four years|4.27
0386|So your present slice is actually|2.52
0387|angled to include past events on Alpha Centauri.|4.62
0388|For someone on Alpha Centauri looking toward Earth,|3.78
0389|their now slice includes events from four years|3.36
0390|in the past on our planet.|2.28
0391|no distinguished cutting up of the cake.|2.98
0392|They're all equally legitimate ways of cutting up everything.|3.48
0393|And those slices will grab different events|3.08
0394|in the space-time manifold.|2.75
0395|in a small fraction of a second.|2.74
0396|So our brains trick us into agreeing|2.52
0397|on a single shared now.|2.82
0398|And our brains also fool us into believing|2.88
0399|that time is moving, even though the past,|2.42
0400|present and future exist together.|3.59
0401|Craig thinks this is because our brains|2.70
0402|are stringing together individual slices of now,|3.70
0403|like frames of a movie.|2.38
0404|is that we have memories only in one direction.|2.52
0405|You just can't get memories of the future.|2.02
0406|So there's baby you, adult you, et cetera.|3.14
0407|running through space-time.|2.26
0408|That's why it feels like I'm flowing,|2.30
0409|because I'm building up this story of the self.|3.02
0410|There's nothing really moving through the block.|2.66
0411|Our sensations of time appear to be distorted,|3.36
0412|So can we learn to see time differently?|4.70
0413|Time never stops,|3.28
0414|but our brains can only register one moment in time,|4.02
0415|the moment we call the present.|4.20
0416|If all of time does exist at once,|4.15
0417|couldn't we change our viewpoint of time|3.50
0418|and maybe see our own future?|6.74
0419|at the University of California at Santa Barbara.|4.47
0420|He spent decades trying to wrap his head|2.30
0421|around Einstein's theory of time.|2.91
0422|There isn't a notion of past, present, and future|2.56
0423|so our impression of past, present, and future|3.70
0424|has to come from the way that we're constructed.|3.18
0425|Our brains constantly process information,|3.84
0426|and whatever is most recent becomes now.|4.04
0427|Our brains then move that information into our memory|3.20
0428|to make room for the new now.|2.62
0429|The present is the most recent information.|2.70
0430|The past, right, is what you've got in memory.|3.00
0431|We take the two and we try to predict, right,|3.38
0432|what we're gonna see in the future.|4.11
0433|But what if we perceive time differently?|3.44
0434|Jim imagines brains constructed to interpret|2.52
0435|sequences of events in new ways.|3.08
0436|Take the fast-moving game of roller hockey.|2.88
0437|based on what's happening in their present.|2.68
0438|if his experience of the present|2.32
0439|was what everyone else sees as the past?|3.48
0440|Let's say the goggles Jim hands to this player|3.18
0441|change his perspective on time.|2.74
0442|Let's say that those goggles|2.08
0443|contain a program that filters the events in our present|3.10
0444|and delays them by 10 seconds.|2.80
0445|Both teams scatter toward goal.|2.62
0446|The goggled player remains at center ice.|3.28
0447|What happened 10 seconds ago for everyone else|3.34
0448|feels like the present to him.|2.40
0449|When the goggled player finally perceives the puck|2.72
0450|to a corner of the rink.|2.35
0451|That player would never catch up with the puck.|3.34
0452|In hockey, a player seeing the past as his now|3.76
0453|would be perpetually late to the action|2.70
0454|and would be a useless player.|3.51
0455|In the natural world, the repercussions are more severe.|4.41
0456|If a hunter believed his prey to be in a time and place|3.20
0457|that it had already left, he'd never catch a meal,|4.48
0458|and his days would be numbered.|3.56
0459|of our brains to compute in that way.|2.36
0460|That's the most efficient survival mechanism,|2.88
0461|and alternatives to it get weeded out.|3.69
0462|Jim then wondered whether a brain artificially constructed|3.18
0463|to experience more than one now might gain some advantage.|6.44
0464|It is possible to imagine brains that|2.12
0465|would have conscious focus on all parts of its memory|3.56
0466|in the present, but it would waste|2.36
0467|valuable computational resources considering|2.24
0468|options that are useless.|2.66
0469|Imagine a hockey player having to make decisions|2.90
0470|where all moments are equally accessible.|2.74
0471|Everything in his experience feels like now.|3.40
0472|Jim suspects a brain like this would freeze into inaction,|3.64
0473|overwhelmed by a universe of choices.|3.48
0474|of organizing the flow of time|2.24
0475|has evolved as best for our biological survival.|3.80
0476|Our brains have created a narrative of time|2.28
0477|that best suits our environment.|2.40
0478|But could other perceptions of what now is|2.84
0479|work better in other environments?|2.90
0480|It's a very intriguing question whether beings|4.24
0481|on other planets, for example, would|2.26
0482|that we do, past, present, and future.|3.22
0483|Perhaps on other worlds, alien minds|2.64
0484|have devised ways to augment their own experience of time.|4.04
0485|They may be able to thrive with knowledge of the past, present,|3.82
0486|and future all at once.|4.40
0487|Could we ourselves learn how to manage multiple nows?|5.13
0488|It could be more likely than you think.|2.62
0489|One scientist thinks he's seen the future|2.48
0490|and detected its shadow cast backward in time.|5.25
0491|Sandu Popescu is a professor of physics|2.92
0492|at the University of Bristol in England.|3.43
0493|He's made an unsettling discovery.|3.00
0494|The future might be reaching back|2.54
0495|and meddling with the past.|2.85
0496|The idea dawned on Sandu while he and his colleagues|3.36
0497|were exploring a fundamental mathematical concept|2.64
0498|called the pigeonhole principle.|3.53
0499|If I have three pigeons|2.16
0500|and I want to put them into two pigeonholes,|3.78
0501|then I necessarily end up with two pigeons in one hole.|5.64
0502|Three pigeons won't fit into two pigeonholes|2.24
0503|without two of them having to share.|2.73
0504|But if the pigeons were shrunk down to the size of apples,|3.44
0505|then they would follow the strange rules|2.56
0506|And then three pigeons could fit into two spaces|3.34
0507|and never share the same space.|3.84
0508|I can arrange a situation in which I can guarantee|4.30
0509|that no two particles will be found in the same box.|5.46
0510|This bizarre effect is possible|2.38
0511|because many skilled quantum objects|2.16
0512|don't have definite fixed locations.|3.58
0513|Quantum particles in general behave very differently|3.70
0514|from everyday object that we know.|3.83
0515|For example, an atom can be in two|3.14
0516|or even more places at the same time.|3.47
0517|about exactly how particles avoid sharing a space|2.88
0518|with one another, he found it had a radical consequence.|4.54
0519|Information about the future can travel backwards|3.60
0520|through time the fact that when dealing with microscopic particles the result of an experiment|9.29
0521|is not determined from the beginning opens the possibility that the future will influence the|7.28
0522|past it may seem that time relentlessly carries us from the past toward the future but that's not the|9.84
0523|way the universe really works what takes place in our past does not simply recede into history|8.29
0524|it becomes imprinted into the fabric of the cosmos one day we may learn to weave the threads of the|9.18
0525|past and the future together and truly play with the boundless possibilities of time in a way every|11.94
0526|man woman and child on this earth is a time traveler like it or not we're all being shot|5.77
0527|relentlessly forward making the journey from birth to death and there's no going back and there is no|7.38
0528|way of looking into the future or is there what if we could travel back to witness events in the|9.36
0529|distant past or journey into the far future see our destiny just think what we might learn if we|10.93
0530|could watch history unfold right before our eyes, or what we could change in our own lives|8.69
0531|if we had the chance. For many, life's greatest sorrow is losing a loved one. The time I spent|8.31
0532|with my grandmother when I was a child helped make me the man I am today. I often wish I|6.44
0533|could see my grandmother again, or go back in time and show her who I am and what I've|6.15
0534|to come as an adult. Seems like an impossible dream. But is it? Can science find a way to tear|10.19
0535|down the walls between now and then? Is time travel possible? Gravity slows time, and this|9.60
0536|is the key to one form of time travel. When you leave a gravity field such as the Earth's surface,|6.51
0537|time moves at a different rate for you than for your friends on Earth.|4.32
0538|The time difference is greatest when you move at high speed.|5.85
0539|This means that time travelers walk among us.|4.08
0540|Cosmonaut Sergei Krikalev is the world's greatest time traveler.|4.16
0541|Krikalev has spent 803 days moving at 17,000 miles per hour.|5.28
0542|He traveled fast outside Earth's gravity,|2.50
0543|so time moved more slowly for him than for us.|4.34
0544|Because time passed at different rates,|2.10
0545|a 48th of a second into the future.|2.64
0546|A 48th of a second may not sound like much,|2.44
0547|and make him go faster, near light speed,|2.50
0548|about 670 million miles per hour,|2.72
0549|he'll come back and find out that while he has aged 12 months,|5.00
0550|Earth is 10 years older.|6.55
0551|Here is another time machine,|2.00
0552|and it speeds things up even faster than our rocket ships.|4.00
0553|It's Europe's Large Hadron Collider, or LHC,|5.90
0554|the world's biggest and baddest particle accelerator.|4.00
0555|Steve Nunn is a professor of physics at MIT.|3.29
0556|Using the LHC,|2.00
0557|Nunn and thousands of other scientists|3.00
0558|turned pieces of atoms into time travelers.|3.00
0559|The LHC here at CERN is like a time machine|2.00
0560|because of a funny feature of physics.|2.00
0561|Velocity is not what you think it is.|2.00
0562|Velocity at normal speeds is normal,|2.00
0563|but at very, very high speeds,|2.00
0564|velocity has a maximum limit.|2.00
0565|So the protons in the ring|2.77
0566|are traveling near the speed of light,|2.00
0567|and they can't go faster.|2.19
0568|What happens instead|2.35
0569|instead, is that their clocks start moving slower.|2.76
0570|Their ticks are longer than our ticks.|2.48
0571|So in some sense, the protons that are going around the ring,|3.00
0572|their clocks are moving slower than our clocks,|2.40
0573|so they're like time travelers relative to us.|5.46
0574|The time-traveling protons at CERN show us|3.32
0575|that we, too, can travel far forward in time.|6.41
0576|Decades from now, spaceships traveling near the speed of light|3.60
0577|could fly into the stars on a 10-year mission.|3.69
0578|For the people on board, it would be ten years.|2.76
0579|On Earth, a thousand years would pass.|4.33
0580|The astronauts would return to a far different future world.|5.76
0581|Time travel into the future is possible, but is it a one-way trip?|6.64
0582|Can we make our dream of time travel backwards and forwards come true?|11.17
0583|The whole of time is all around us, but can we jump from the present to the past?|9.45
0584|In the early years of the 20th century, a young patent clerk named Albert Einstein gave|4.90
0585|us a possible way back.|2.42
